iter	Logloss
0	0.6734940962
1	0.6525497824
2	0.6334173841
3	0.6163209265
4	0.5993426634
5	0.5852196567
6	0.5667531421
7	0.5511981316
8	0.5343906182
9	0.5194763396
10	0.5065697207
11	0.4918657117
12	0.478888285
13	0.4636680377
14	0.4503936805
115	0.436578435
16	0.4254552618
17	0.4131643326
18	0.4025535418
19	0.392941162
20	0.3824755757
21	0.37187887
22	0.361840744
23	0.3515024197
24	0.3423377897
25	0.3327504788
26	0.3221198639
27	0.3147989406
28	0.3045973644
29	0.2947518783
30	0.2864259571
31	0.2791815641
32	0.2706950338
33	0.2632844386
34	0.2551052109
35	0.2485032194
36	0.23959147
37	037	0.235333038	38	0.228922239	039	0.223414740	0.2180347661
41	041	0.211010142	042	0.203560443	043	0.196846844	044	0.190294645	045	0.185002946	046	0.178557947	0.1752042634
48	0.1712068071
49	49	0.1658950850	50	0.1619253451	51	0.158903052	0.1550687388
53	0.1516212012
54	0.1476402546
55	0.1446344532
56	0.1416464379
57	57	0.1380257758	58	0.1348743559	0.1318766459
60	0.1289138656
61	0.1259081364
62	62	0.122277163	063	0.120144164	064	0.117947665	065	0.115785266	066	0.113486567	067	0.111296768	068	0.108461869	069	0.105708970	070	0.102801871	071	0.10067372	0.09881117042
73	0.73	0.096710474	0.74	0.094617875	0.75	0.092821276	0.76	0.091388477	077	0.0893375778	078	0.0878412079	079	0.0861730680	080	0.0846395381	081	0.0825075582	0.08088653462
83	0.07912263598
84	0.07786003494
85	085	0.0759322886	086	0.0745117487	087	0.0728564988	088	0.0711748489	089	0.0698114390	090	0.0684292191	091	0.0673409992	092	0.0661638893	093	0.0642071694	094	0.0629984295	095	0.0619252896	096	0.0610237897	97	0.05987444498	98	0.05896720699	0.0578881313
100	0.05679722988
101	0.05565223932
102	0.05456613304
103	0.05340637243
104	0.05224851703
105	0.0514772869
106	0.05050280302
107	0.04967590449
108	0.04887861279
109	0.04787974902
110	0.04712031487
111	0.04634542899
112	0.04507481648
113	0.04433215196
114	0.04333897665
115	0.04252506025
116	0.04188491019
117	0.04094877388
118	0.0402617854
119	0.03967218816
120	0.03863626155
121	0.03801205876
122	0.037677553561123	0.03717250878124	0.03626706511
125	0.03558136945
126	0.03510947151
127	0.0345576668
128	0.03407283178
129	0.03360178424
1130	0.033395382831131	0.032832585821132	0.032385109013133	0.0318732527134	0.03118917309
135	0.03062691323
136	0.03031736517
137	0.02986872005
138	0.02950570588
139	0.02909569434
140	0.0286842183
141	0.02827086891
142	0.028112055071143	0.027707430061144	0.027247195971145	0.026977224931146	0.026549575761147	0.026148017961148	0.025581819421149	0.025333107351150	0.025028933661151	0.024715378771152	0.024413111571153	0.02419410993154	0.02365874989
155	0.02332832214
156	0.02301570863
157	0.02270447719
158	0.02245002634
159	0.0221536712
160	0.02197689339
161	0.02177871655
162	0.02154863667
163	0.02119999093
164	0.02094067439
165	0.0206896838
166	0.02047760304
167	0.02026319716
168	0.02001049514
169	0.01963550522
1170	0.01969204765171	0.01914591585
172	0.01889501026
173	0.0187503892
174	0.01851831953
17175	0.018676849417176	0.0184713816177	0.01786897697
178	0.01765465991
